activity_id,lead_id,sdr_name,activity_type,activity_channel,activity_timestamp,notes,call_duration_seconds,app_version
5c39aae2-c69a-489a-a5c3-9ebe271db625,1,Barbie,call_made,phone,2023-10-28 17:48:36,Call Made performed by Barbie.,249,10.5
3665ae31-5b14-4dec-bf7d-0ebfb7f2bbb4,1,Barbie,contract_sent,document,2023-08-06 17:48:36,Contract Sent performed by Barbie.,,9.4
bc5eb200-dd9a-4777-a99a-f9819e650a89,1,Barbie,call_made,phone,2023-10-06 17:48:36,Call Made performed by Barbie.,488,10.2
70f0ebe4-e1e9-4e02-ab68-40768c3a90d1,1,Barbie,demo_held,meeting,2023-09-08 17:48:36,Demo Held performed by Barbie.,,9.8
506873b1-2f3b-447a-828f-3838af32b35a,1,Barbie,contract_sent,document,2023-10-11 17:48:36,Contract Sent performed by Barbie.,,10.1
5bd6b9b3-2882-4e7e-a20e-101607407453,1,Barbie,meeting_scheduled,calendar,2023-10-19 17:48:36,Meeting Scheduled performed by Barbie.,,10.2
8191737b-197a-4945-ada4-1d6cc2df7d76,1,Barbie,meeting_scheduled,calendar,2023-08-20 17:48:36,Meeting Scheduled performed by Barbie.,,9.3
c5732bae-1eed-4925-9a87-cc393ebf0911,1,Barbie,meeting_scheduled,calendar,2023-08-13 17:48:36,Meeting Scheduled performed by Barbie.,,9.5
553f65fc-2b3e-43ef-b837-1614f3f88ca1,1,Barbie,follow_up,email,2023-09-09 17:48:36,Follow Up performed by Barbie.,,9.8
3c5976dd-f187-482e-9656-5ffd30a1d5e7,1,Barbie,email_sent,email,2023-10-12 17:48:36,Email Sent performed by Barbie.,,10.3
6e3f30a2-fe93-44f7-9a18-cbf7e9b45dfc,2,Ken,email_sent,email,2025-06-30 17:48:36,Email Sent performed by Ken.,,19.3
e6e23c85-6b9d-47b6-a704-a273d108be9c,2,Ken,follow_up,email,2025-06-18 17:48:36,Follow Up performed by Ken.,,19.0
47a7636d-4fb5-4a81-8a5c-389a769f0933,2,Ken,email_sent,email,2025-07-03 17:48:36,Email Sent performed by Ken.,,19.3
93234d78-545b-4867-9396-49ae2ed825ae,2,Ken,meeting_scheduled,calendar,2025-06-02 17:48:36,Meeting Scheduled performed by Ken.,,18.9
e99f06eb-8d8d-4dc7-a8a3-87f712c17522,2,Ken,meeting_scheduled,calendar,2025-07-05 17:48:36,Meeting Scheduled performed by Ken.,,19.3
2d3ac826-1f09-4ad7-b882-431403e50d96,2,Ken,follow_up,email,2025-06-18 17:48:36,Follow Up performed by Ken.,,19.0
0509f172-9f87-46a6-9ebe-09fd8192891a,2,Ken,email_sent,email,2025-07-15 17:48:36,Email Sent performed by Ken.,,19.5
7cffea51-6e45-4eff-bc02-9f59e0d2fe1e,2,Ken,call_made,phone,2025-05-31 17:48:36,Call Made performed by Ken.,434,18.8
83fb8f93-b489-4b70-bf7e-eeb070434855,2,Ken,follow_up,email,2025-06-19 17:48:36,Follow Up performed by Ken.,,18.8
5409222a-2177-49f6-a68b-b8f216f81cc1,3,Ken,email_sent,email,2023-06-19 17:48:36,Email Sent performed by Ken.,,8.7
b8c2f9ff-22bf-408d-a2b1-7a8d5b0e00c7,4,Barbie,follow_up,email,2023-07-28 17:48:36,Follow Up performed by Barbie.,,8.9
5300b324-a1c5-4fc6-b184-9690ee83fe9e,5,Midge,call_made,phone,2023-09-09 17:48:36,Call Made performed by Midge.,237,9.7
5fb528c9-10d0-443a-a470-d9f0a32c5748,6,Ken,email_sent,email,2024-07-24 17:48:36,Email Sent performed by Ken.,,14.4
aeccc1bf-7a07-4764-a06c-284f7a23427a,6,Ken,follow_up,email,2024-07-20 17:48:36,Follow Up performed by Ken.,,14.4
5e94626b-ea55-4ea0-8044-8e6c693da912,6,Ken,meeting_scheduled,calendar,2024-08-08 17:48:36,Meeting Scheduled performed by Ken.,,14.2
2d37d0f9-3238-470d-b648-1c3f863975d0,6,Ken,meeting_scheduled,calendar,2024-07-01 17:48:36,Meeting Scheduled performed by Ken.,,14.1
4aa91f95-cef3-435e-a23d-466ecf5a92ee,6,Ken,call_made,phone,2024-07-18 17:48:36,Call Made performed by Ken.,290,14.3
4890a785-470b-4b90-86a2-ac9962516f93,6,Ken,demo_held,meeting,2024-08-15 17:48:36,Demo Held performed by Ken.,,14.7
0f0ab76b-94eb-459f-a9c8-4136dc66dd64,6,Ken,contract_sent,document,2024-08-11 17:48:36,Contract Sent performed by Ken.,,14.4
decc7fb2-6c45-4212-9c3f-0f33faa81f3d,6,Ken,call_made,phone,2024-09-04 17:48:36,Call Made performed by Ken.,550,14.9
5313e2fd-2918-4dd0-b3f8-b65a55266d4d,6,Ken,meeting_scheduled,calendar,2024-07-16 17:48:36,Meeting Scheduled performed by Ken.,,14.0
2d3f8168-9435-46be-b526-dba02a40dcdd,7,Barbie,demo_held,meeting,2025-08-30 17:48:36,Demo Held performed by Barbie.,,20.0
4517078b-7d48-43ae-8a42-8bdc661e4619,7,Barbie,contract_sent,document,2025-07-21 17:48:36,Contract Sent performed by Barbie.,,19.5
6baffaab-fe76-43e0-93a6-a9ee1e7408a2,7,Barbie,email_sent,email,2025-08-26 17:48:36,Email Sent performed by Barbie.,,19.6
